State	 Location 	Latitude 	Longitude	PIN code		
Andhra Pradesh	 Rayadrug 	14.70	76.88			
Andhra Pradesh	 Rekapalle 	17.57	81.03			
Andhra Pradesh	 Repalle 	16.03	80.88	522265		
Andhra Pradesh	 Sadaseopet 	17.07	77.97			
Andhra Pradesh	 Samalkot 	17.05	82.22	533440		
Andhra Pradesh	 Sangareddipet 	17.58	78.03			
Andhra Pradesh	 Sattenapalle 	16.40	80.18	522403		
Andhra Pradesh	 Satur 	18.52	83.25			
Andhra Pradesh	 Secunderabad 	17.45	78.55	500003		
Andhra Pradesh	 Seshachalam Hills 	14.02	78.05			
Andhra Pradesh	 Sidhout 	14.47	79.02			
Andhra Pradesh	 Sidipett 	18.12	78.08			
Andhra Pradesh	 Tadpatri 	14.93	78.03			
Andhra Pradesh	 Tandur 	17.28	77.50	501141		
Andhra Pradesh	 Tanuku 	16.75	81.73	534211		
Andhra Pradesh	 Tenali 	16.25	80.58	522201		
Andhra Pradesh	 Tirupati 	13.67	79.33	517501		
Andhra Pradesh	 Tungabhadra R. 	15.97	78.30			
Andhra Pradesh	 Tuni 	17.35	82.54			
Andhra Pradesh	 Udayagiri 	14.87	79.32	524226		
Andhra Pradesh	 Vayalpad 	13.80	78.67	517299		
Andhra Pradesh	 Vemalwada 	18.50	78.93			
Andhra Pradesh	 Venkatagiri 	13.95	79.58			
Andhra Pradesh	 Venkatapuram 	18.28	80.60	500015		
Andhra Pradesh	 Vijayawada 	16.52	80.65	520001		
Andhra Pradesh	 Vinukonda 	16.07	79.78			
Andhra Pradesh	 Vizianagram 	18.12	83.45			
Andhra Pradesh	 Waltair 	17.73	83.38			
Andhra Pradesh	 Warangal 	17.97	79.67	506001		
Andhra Pradesh	 Yaham 	16.73	82.27			
Andhra Pradesh	 Yellandu 	17.62	80.38	507123		
Andhra Pradesh	 Yemmiganur 	15.77	77.52	518360		
Andhra Pradesh	 Yernagudem 	16.98	81.55			
Arunachal Pradesh	 Itanagar 	27.13	93.67	791111		
Arunachal Pradesh	 Patkal Hills 	27.00	95.05			
Arunachal Pradesh	 Tawang 	27.55	91.80			
Assam	 Barpeta 	26.32	91.00	781301		
Assam	 Bilasipara 	26.23	90.23			
Assam	 Bongaigaon 	26.47	90.57	781375		
Assam	 Dhekiajuli 	26.70	92.50	784110		
Assam	 Dhubri 	26.03	89.97	783126		
Assam	 Dibrugarh 	27.48	94.90	785011		
Assam	 Digboi 	27.38	95.63	786171		
Assam	 Diphu 	25.83	93.43	782448		
Assam	 Gauripur 	26.08	89.97			
Assam	 Goalpara 	26.17	90.62	783101		
Assam	 Golaghat 	26.52	93.97	782470		
Assam	 Guwahati 	26.18	91.73	781001		
Assam	 Haflong 	25.18	93.03	788818		
Assam	 Hailakandi 	24.68	92.57	788151		
Assam	 Hojai 	26.00	92.87	782435		
Assam	 Jorhat 	26.75	94.22	785001		
Assam	 Karimganj 	24.87	92.35	788145		
Assam	 Kokrajhar 	26.40	90.27	783325		
Assam	 Lanka 	25.92	92.95	782446		
Assam	 Margherita 	27.28	95.68	786181		
Assam	 Mariani 	26.67	94.33	785634		
Assam	 Nagaon 	26.35	92.68	782001		
Assam	 Nalbari 	26.42	91.43	781126		
Assam	 North Lakhimpur 	27.23	94.12	784160		
Assam	 Rangia 	26.47	91.63	781354		
Assam	 Sibsagar 	26.98	94.63	785010		
Assam	 Silchar 	24.82	92.80	788001		
Assam	 Tezpur 	26.63	92.80	783348		
Assam	 Tinsukia 	27.50	95.37	786125		
Bihar	 Arrah 	25.57	84.53	801119		
Bihar	 Aurangabad 	24.75	84.42	221001		
Bihar	 Bankipore 	25.67	85.20			
Bihar	 Barwa 	23.17	84.22	125045		
Bihar	 Bettiah 	26.80	84.55	845438		
Bihar	 Bhagalpur 	25.25	87.02	812001		
Bihar	 Buddh Gaya 	24.68	85.03			
Bihar	 Buxar 	25.57	84.02	802101		
Bihar	 Chhapra 	25.78	84.78			
Bihar	 Colgong 	25.27	87.28	813203		
Bihar	 Darbhanga (Laheriasarai) 	26.17	85.95			
Bihar	 Dhankkgain 	25.23	84.28			
Bihar	 Dinapore 	25.63	85.08			
